Name,Address,Phone,Email,State
CARMEL SEC SCHOOL,"PHOENIX BAY HADDO POST PORT BLAIR A & N ISLANDS,744102","3192,230411",reshac@gmail.com,ANDAMAN & NICOBAR 
crescent public school,"wimberly gunj po, south andaman, ferrar gunj andaman,744206","3192,256129",cpsandaman@gmail.com,ANDAMAN & NICOBAR 
GOVERNMENT SECONDARY SCHOOL,"PRATHRAPUR BRIJKUNJ PO BRICHKUNJ P O A & N ISLANDS,744206","03192,55254",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVERNMENT SECONDARY SCHOOL,"PINAKI, BILLGROUND, N & M ANDAMAN,744201","0319,270798",gsspinakinagar@rediffmail.com,ANDAMAN & NICOBAR 
GOVERNMENT SECONDARY SCHOOL,"MADHEEPUR, DIGLIPUR, NORTH ANDAMAN,744206","03192,03192",gsssubashgram2@yahoo.co.in,ANDAMAN & NICOBAR 
GOVERNMENT SR SECONDARY SCHOOL,"C F O  NALLAH VIL. DHARAMPUR PO BETAPUR A & N ISLANDS,744201","3192,270087",sscfo1967@gmail.com,ANDAMAN & NICOBAR 
govt  secondary school,"shibpur  aerial bay p.o nth andaman a & n islands,744202","3192,272389",gssshibpur@gmail.com,ANDAMAN & NICOBAR 
GOVT  SENIOR SECONDARY SCHOOL,"KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS,744202","03192,282618",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT  SR SECONDARY SCHOOL,"SWARAJGRAM POST   DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202","0319,272927",sblall62@gmail.com,ANDAMAN & NICOBAR 
govt boys sr sec school,"middle point pt blair a & n islands,744101","3192,232275",gbsssprincipal@gmail.com,ANDAMAN & NICOBAR 
govt decondary school,"tamaloo, car nicobar, distt nicobar, a & n island,744301","3193,265037",,ANDAMAN & NICOBAR 
govt girls sr sec school,"pt blair a & n islands 744104,744104","3192,232344",sangeeta_230940@yahoo.co.in,ANDAMAN & NICOBAR 
govt model seni secondary school,"kamta nancowrie a & n islands,744206",",",,ANDAMAN & NICOBAR 
GOVT MODEL SENIOR SECONDARY SCHOOL,"FERRARGUNJ  P.O.BEACHDERA SOUTH ANDAMAN A & N ISLANDS,744101","0319,266180",vibhesethi@yahoo.com,ANDAMAN & NICOBAR 
govt model sr sec school,"p.o. aberdeen bazaar pt blair a & n islands,744101","3192,232589",sarathandamans@gmail.com,ANDAMAN & NICOBAR 
govt rabindra bangla vidyalaya,"pt blair a & n islands 744101,744101","3192,233410",lokeshdoe@gmail.com,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"MOHANPUR V MAYABUNDER NORTH ANDEMAN,744206",",",,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"PARANGARA KISHORI NAGAR PANCHAYAT, DY EDU OFFICE, NORTH ANDAMAN,744206","03192,279034",gsssubashgram2@yahoo.co.in,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"BENGALI  TERESSA ISLAND VIA ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744104","3193,263225",monna.india@gmail.com,ANDAMAN & NICOBAR 
govt sec school,"distt junglighat pt blair south andamans,744103","3192,232255",headmaster.gssjg62@gmail.com,ANDAMAN & NICOBAR 
govt sec school,"namunaghar south andaman a&n island,744206","0319,223630",,ANDAMAN & NICOBAR 
govt sec school,"delanipur haddo po pt blair a & n islands,744102","0319,241199",gssdelanipur1960@gmail.com,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"SHOAL BAY-12 SOUTH ANDEMAN A & N ISLANDS,744206","3192,281842",gssshoalbay12@gmail.com,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"MILDERA II KATCHAL PORT BLAIR A & N ISLANDS ,",",",,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"UTTARA KADAMTALA MIDDLE ANDEMAN,744209","03192,50041",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"JIRKATANG 2 SOUTH ANADAMAN PORT BLAIR,744206","3192,281574",ramnarayan.andaman@gmail.com,ANDAMAN & NICOBAR 
GOVT SEC SCHOOL,"SUBHASHGRAM DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744206","3192,271030",gssssubashgram2012@gmail.com,ANDAMAN & NICOBAR 
govt sec school (tamil & english),"haddo post pt blair a & n islands,744102","03192,32286",hmgss_htem10@rediffmail.com,ANDAMAN & NICOBAR 
GOVT SECONDARY  SCHOOL,"KAUSHALYA NAGAR  RANGAT MIDDLE ANDAMAN,744205","3192,215946",hemender2007@rediffmail.com,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"WEBI  MAYABUNDER P.O NORTH ANDAMAN A & N ISLANDS,744204","03192,276662",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"VILLAGE MANPUR  P.O.TUSHNABAD SOUTH ANDAMAN A & N ISLANDS,744103","03192,282618",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"CHAINPUR P.O PUDUMADURAI MAYABUNDER VIA MIDDLE ANDAMAN A & N ISLANDS,744204","3192,9474282282",mohammed.rafiqu@gmail.com,ANDAMAN & NICOBAR 
govt secondary school,"harmander bay little andaman a & n islands,744207","03192,282618",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt secondary school,"adazig (po) alkatcha baratang island south andaman a & n islands,744210","08301,43326",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"KAKANA CAR NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt secondary school,"ram nagar post digilipur via  nth andaman a & n islands,744202","0319,217755",gssrndp@gmail.com,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"MILETILAK VIA WIMBERLYGUNJ SOUTH ANDAMAN A & N ISLANDS,744206","03192,281576",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt secondary school,"nimbutala (vill & po) middle andaman a & n islands,744205","3192,215184",salimvp65@gmail.com,ANDAMAN & NICOBAR 
govt secondary school,"shivapuram village betapur post middle andaman a & n islands,744201","3192,270092",tnatarajan65@gmail.com,ANDAMAN & NICOBAR 
govt secondary school,"vivekanandapur via hutbay little andaman a & n islands,744207","03192,282618",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt secondary school,"manglutan p.o:- humphrey gunj south andaman a & n islands,744101","3192,287311",gsssmanglutan@yahoo.com,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"MUS CAR-NICOBAR A & N ISLANDS,744301","03193,67223",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt secondary school,"dairy farm  p.o junglighat pt blair a & n islands,744103","3192,231059",anujollyraju@gmail.com,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"GOVINDAPUR P O NIMBUDERA VIA-BETAPUR MIDDLE  ANDAMAN A & N ISLANDS,744201","3192,276067",sudhansuroy62@gmail.com,ANDAMAN & NICOBAR 
govt secondary school,"gandhi nagar campbell bay great nicobar a & n islands,744302","3193,264240",SOBHAROY1964@MAIL.COM,ANDAMAN & NICOBAR 
govt secondary school,"arong andaman & nicobar island,744202","03193,265037",aronggss@gmail.com,ANDAMAN & NICOBAR 
govt secondary school,"durgapur diglipur nth andaman andaman & nicobar island,744206","0319,2272212",gss_durgapur@rediffmail.com,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"WESTBAY KATCHAL KATCHAL ISLANDS ANDAMAN & NICOBAR ISLANDS,744304",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SECONDARY SCHOOL,"KARMATANG NO 10 MAYABUNDER P.O A & N ISLANDS,744204","0,0",swapnayaan@gmail.com,ANDAMAN & NICOBAR 
govt seni secondary school,"laxmanpur  neil kendra p.o. neil island south andaman a & n islands,744104","03192,282618",gsss_neil@yahoo.co.in,ANDAMAN & NICOBAR 
GOVT SENIOR SECONDARY SCHOOL,"MANNARGHAT   WIMBERLYGUNJ P.O SOUTH  ANDAMAN A & N ISLANDS,744206","3192,255937",girijarani1709@gmail.com,ANDAMAN & NICOBAR 
GOVT SENIOR SECONDARY SCHOOL,"RANGA CHANG   BIMLITON P.O VIA JUNGLIGHAT SOUTH ANDAMAN A & N ISLANDS,744103","3192,281002",indiradevi5260@gmail.com,ANDAMAN & NICOBAR 
govt senior secondary school,"hut_bay p.o little  andaman a & n islands,744207","03192,84351",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SENIOR SECONDARY SCHOOL,"MALACCA CAR-NICOBAR A & N ISLANDS ,744301","03193,5275",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SENIOR SECONDARY SCHOOL,"ORALKATCHA BARATANG ISLAND MIDDLE ANDAMAN A & N ISLANDS,744210","03192,77064",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr  sec school,"rangat middle andaman middle  andaman,744205","3192,274242",ritabanerjee.portblair@gmail.com,ANDAMAN & NICOBAR 
govt sr  sec school,"kalighat p.o nth andaman a & n islands,744204","3192,278023",gssskg@gmail.com,ANDAMAN & NICOBAR 
GOVT SR  SEC SCHOOL,"MAYABUNDER NORTH ANDAMAN A & N ISLANDS,744204","3192,273216",sulochana065@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"HAVELOCK P O HAVELOCK-3 SOUTH ANDAMAN A & N ISLANDS,744211","0319,2282382",mandal.prabhash1961@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"KADAMTALA VILLAGE & P O MIDDLE  ANDAMAN A & N ISLANDS,744209","3192,267064",sunitachakraborthyvp14@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"BAKULTALA P O BAKULTALA MIDDLE  ANDAMAN A & N ISLANDS,744208","3192,277536",harishchandrarai1961@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"SAWAI CAR-NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr sec school,"ramkrishnapur  post via hutbay little andaman a & n islands,744207","03192,88039",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"LAPATHY CAR-NICOBAR A & N ISLANDS ,744301",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr sec school,"campbell bay great nicobar a & n islands,744302","3193,264240",latasingh58@gmail.com,ANDAMAN & NICOBAR 
govt sr sec school,"school line   junglighat p.o pt blair south andaman a & n islands,744103","3192,232836",vtreddy1962@gmail.com,ANDAMAN & NICOBAR 
govt sr sec school,"vijay nagar   campbell bay great nicobar a & n islands,744302","3193,9434298502",ritatewari720@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"MOHANPURA PORT BLAIR A & N ISLANDS,744101","3192,233847",gsssmohanpura@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"KAPANGA  KATCHAL ISLANDS NICOBAR DISTRICT A & N ISLANDS ,744304",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr sec school,"pt mout  p.o chouldari south andaman a & n islands,744103","3192,289443",archanasinghgssspm@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"LONG ISLAND POST MIDDLE ANDAMAN A & N ISLANDS,744203","03192,78516",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT SR SEC SCHOOL,"CHAMPIN NANCOWRIE P.O. A & N ISLANDS,744303",",33204",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr sec school,"garacharama south andaman a & n islands,744101","3192,250337",garacharmagsss2013@gmail.com,ANDAMAN & NICOBAR 
govt sr sec school (hindi medium),"haddo post pt blair a & n islands,744102","03192,34838",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt sr sec school (telugu medium),"haddo post pt blair a & n islands,744102","03192,232671",bujji_hado@yahoo.co.in,ANDAMAN & NICOBAR 
govt sr secondary school,"diglipur nth   andaman a & n islands,744202","3192,272224",,ANDAMAN & NICOBAR 
govt sr secondary school,"swadesh nagar p.o. middle  andaman a & n islands,744201","0319,270781",gsssswadeshnagar@rediffmail.com,ANDAMAN & NICOBAR 
GOVT SR SECONDARY SCHOOL,"PAHALGAON P O TOGAPUR VIA MAYABUNDER MIDDLE  ANDAMAN A & N ISLANDS,744204","3192,276671",chakraborty17aparna@gmail.com,ANDAMAN & NICOBAR 
GOVT SR SECONDARY SCHOOL,"TUSNABAD PORT BLAIR  SOUTH ANDAMAN A & N ISLANDS,744103","3192,",gsss_tb.and@nic.in,ANDAMAN & NICOBAR 
govt sr secondary school,"sabri jn. middle middle andaman,744205","3192,274205",principal.sab@gmail.com,ANDAMAN & NICOBAR 
govt sr. sec school,"wimberlygunj p.o south  andaman a & n islands,744206","3192,255254",gssswimberlygunj@gmail.com,ANDAMAN & NICOBAR 
govt sr. secondary school,"bambooflat p.o south andaman a & n islands,744107","3192,255752",gsss_bf@yahoo.com,ANDAMAN & NICOBAR 
GOVT SR.SECONDARY SCHOOL,"BATHUBASTI POST  GARACHARAMA POST VIA PORT BLAIR SOUTH ANDAMAN A & N ISLANDS,744101","0319,3192252199",varghesechacko@gmail.com,ANDAMAN & NICOBAR 
govt. demonstration multi purpose,"school middle point pt blair a & n islands,744101","03192,34730",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
GOVT. MODEL SEC. SCHOOL,"KAMORTA, NANCOWRY, DISTT. NICOBAR, A & N ISLAND,744303",",03192272071",KSANKARAN123@GMAIL.COM,ANDAMAN & NICOBAR 
govt. model sr. sec. school,"sita nagar, diglipur, nth & middle andaman,744202","0319,2271044",sitanagarprincipal@yahoo.com,ANDAMAN & NICOBAR 
GOVT. SECONDARY SCHOOL,"KUITASUKH, CHOWRA, ISLAND, NANCOWRY, A & N ISLAND,","03193,263225",gsskuitasuk@gmail.com,ANDAMAN & NICOBAR 
GOVT. SECONDARY SCHOOL,"PASCHIM SAGAR  DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202","03192,272148",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt. secondary school,"keralapuram diglipur aerial bay po nth andaman a & n islands,744202","0,0",bvrreddy91@gmail.com,ANDAMAN & NICOBAR 
govt. secondary school,"p.o. calicut pt blair south andamans,744103","3192,260041",gsscalicut41@gmail.com,ANDAMAN & NICOBAR 
GOVT. SECONDARY SCHOOL,"PILPILLOW NANCOWRIE A & N ISLANDS ,744303",",",rnr@andaman.tn.nic.in,ANDAMAN & NICOBAR 
govt. secondary school,"laxmipur nth andaman a & n islands,744202","3192,271390",hanifam63@gmail.com,ANDAMAN & NICOBAR 
govt. secondary school,"south point shadipur post ptblair a & n islands,744106","3192,229361",shyamalmazumdar102@gmail.com,ANDAMAN & NICOBAR 
INVENT PUBLIC SCHOOL,"INVENT PUBLIC SCHOOL, SIPPIGHAT VILLAGE, PORT BLAIR, SOUTH ANDAMAN,744105",",03192260261",inventschool2012second@gmail.com,ANDAMAN & NICOBAR 
IQRA PUBLIC SCHOOL,"WIMBERLY GUNJ SOUTH ANDAMAN FERRAR GUNJ SOUTH ANDAMAN,744206","3192,255375",ashapb1984@gmail.com,ANDAMAN & NICOBAR 
JAWAHAR NAVODAYA VIDYALAYA,"PANCHAWATI  RANGAT P.O DISTT NORTH & MIDDLE ANDAMAN A & N ISLANDS,744205","3192,279092",canaikker@gmail.com,ANDAMAN & NICOBAR 
jawahar navodaya vidyalaya,"arong car nicobar po nicobar distt a & n islands 744301 a & n islands,744301","0,3192292804",sachinkharat81@rediffmail.com,ANDAMAN & NICOBAR 
KAMARAJ ENG MED SCHOOL,"ABERDEEN BAZAR P B NO 157 PORT BLAIR A & N ISLANDS,","3192,261526",beenasantosh2001@gmail.com,ANDAMAN & NICOBAR 
KENDRIYA VIDYALAYA NO.2,"RAKSHA VIHAR MINNIE BAY PORT BLAIR A & N ISLANDS,744103","3192,225093",thekumarvijay@rediffmail.com,ANDAMAN & NICOBAR 
KENDRIYA VIDYALAYA NO.I,"NEAR ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744101","3192,232411",kvportblair1@gmail.com,ANDAMAN & NICOBAR 
Khalsa Public School,"Gurudwara Dr.Diwan Singh Complex, PORT BLAIR. ANDAMAN,744101","3192,242839",sarab1971@rediffmail.com,ANDAMAN & NICOBAR 
M E S SCHOOL,"AZAD NAGAR  STEWART GUNJ BAMBOOFLAT SOUTH ANDAMAN,744107","3192,255251",mes_sg@yahoo.com,ANDAMAN & NICOBAR 
"M.E.S. SCHOOL, Salah Nagar, Ograbraj","OGRABRAJ,744103","3192,255270",twahab.mes@gmail.com,ANDAMAN & NICOBAR 
MAHATMA GANDHI INTERNATIONAL SCHOOL,"BROOKSHABAD POST BOX 474 JANGLIGHAT PORT BLAIR-474,744107","0319,262333",mgispb@gmail.com,ANDAMAN & NICOBAR 
NAVY CHILDREN SCHOOL,"MINNIE BAY PORT BLAIR PO JUNGLIGHAT ANDAMAN & NICOBAR ISLANDS,744103","03192,200827",npspb@yahoo.co.in,ANDAMAN & NICOBAR 
NIRMALA SR SEC SCHOOL,"HADDO POST PORT BLAIR A & N ISLANDS,744102","3192,232915",joyline10@gmail.com,ANDAMAN & NICOBAR 
SAGRITARA SCHOOL,"PREM NAGAR, P.O. HADDO,744102","3192,232515",kujurpreety@gmail.com,ANDAMAN & NICOBAR 
SARASWATI SHISHU MANDIR,"PATHER GUDDA GARACHARMA PORT BLAIR ANDAMAN NICOBAR ISLAND,110085","03192,250331",crpfps@del2.vsnl.net.in,ANDAMAN & NICOBAR 
st. mary's school,"garacharma, bathubasti, pt blair,,744101","0319,251834",achammakuriakose@rediffmail.com,ANDAMAN & NICOBAR 
"St. Xavier School,(ENGLISH MEDIUM MIDDLE SCHOOL)","MANNARGHAT, FERRARGUNJ SOUTH ANDAMAN,744206","3192,255510",milan.aruj@gmail.com,ANDAMAN & NICOBAR 
UMMAT PUBLIC SCHOOL,"MOHATMA GANDHI ROAD MIDDLE POINT ABERDEEN BAZAR PORT BLAIR (A&N ISLAND),744101","3192,261686",kamaraj_ups@rediffmail.com,ANDAMAN & NICOBAR 
VITALA PUBLIC SCHOOL,"HOPE TOWN BAMBOO FLAT, SOUTH ANDAMAN FERRARGUNG PORTBLAR,744107","3192,258294",jayanair66@yahoo.com,ANDAMAN & NICOBAR 
vivekanand kendra zila prishad vidyalaya,"basnti pur nth and middle andaman po nimbudera andaman and nicobar 744201,492001","3192,276101",sssanju76@gmail.com,ANDAMAN & NICOBAR 
