Name,Address,Phone,Email
ADAM PUBLIC SCHOOL,"ANGAMALY ALWAYE ERNAKULAM KERALA,683572","0484,2454522",seenajkalarikkal@gmail.com
ADARSHA VIDYA BHAVAN,"NORTH PARAVUR ERNAKULAM DISTT, KERALA,683513","0484,2445033",preethicr242@gmail.com
AL AMEEN INTERNATIONAL PUBLIC SCHOOL,"EDATHALA ALUVA ERNAKULAM DISTT KERALA,683564","0484,2837948",sumi.subin8@gmail.com
AL AMEEN PUBLIC SCHOOL,"SREEMOOLANAGARAM ERANAKULAM DISTT KERALA,683580","0484,2600033",kavithasantony@gmail.com
AL HIND PUBLIC SCHOOL,"PENGATTUSSERY, ERUMATHALA P.O,ALUVA,ERNAKULAM Dist.-683 112,683112","0484,2836111",reseena24@gmail.com
"AL-AMAL PUBLIC SCHOOL, NELLIKKUZHI","AL - AMAL PUBLIC SCHOOLNELLIKKUZHI. P. OKOTHAMANGALAM ERNAKULAM DISTKERALA,686691","0485,2828529",kmmuhammedali@gmail.com
AL-AMEEN PUBLIC SCHOOL,"EDAPPALLY COCHIN, DISTT ERNAKULAM KERALA,682024","0484,2801034",lakshmileela60@gmail.com
AL-FALAH PUBLIC SCHOOL,"PANIPRA PO, KOTHAMANGALAM, KRNAKULAM KERALA,686692","0484,2252095",shibikm008@yahoo.com
ALANGAD JAMA-ATH PUBLIC SCHOOL,"KARUMALLOOR PO ERNAKULAM KERALA,683511","0484,2670591",pblcschl@yahoo.co.in
Alhuda Public School,"11/266, Panayikulam,Alangad (via), Ernakulam.Kerala State,683511","0484,2671588",vdeepa44@gmail.com
AMAL PUBLIC SCHOOL,"AZHAR NAGAR, CHALAKKAL, MARAMPALLY P.O, ALUVA, ERNAKULAM Dist.,683107","0484,6547726",dhanushiju@gmail.com
AMRITA VIDYALAYAM,"KUNNUMPURAM EDAPALLY NORTH DISTT ERNAKULAM, KERALA,682024","0484,2801767",avbhakthi@gmail.com
AMRITA VIDYALAYAM,"PERANBAVOOR ERNAKULAM DIST. KERALA,683542","0484,2522027",avpbvr@gmail.com
ARAFA PUBLIC SCHOOL,"PEZHAKKAPILLY P.O. MUVATTUPUZHA, ERNAKULAM DISTT., KERALA,686674","0485,2813705",febinakanely@gmail.com
ARCHBISHOP ATTIPETTY PUBLIC SCHOOL,"T.K.C Road, Vaduthala P.O. Kochi, Kanayannoor, Ernakulam,,682023","0484,6588137",dhanesh_antony@yahoo.in
ASSISI VIDYA NIKETAN PUBLIC SCHOOL,"ATTIPETTY NAGAR CHEMBUMUKKU KAKKANAD COCHIN KERALA,682021","0484,2424724",helenjjob@yahoo.co.in
ASSISI VIDYANIKETAN PUBLIC SCHOOL,"PERUMPILY NARAKKAL KOCHI ERNAKULAM KERALA,682505","0484,2498877",alphonsasebastian2@gmail.com
BAPPUJI ENGLISH MEDIUM SCHOOL,"KOOTHATTUKULAM, ERNAKULAM DIST. KERALA,686662","0485,2252103",breezygeorgearackel@gmail.com
baselios augen public school,"kodanad perumbavo ernakulam distt kerala,683544","0484,2646135",vgopal.mini@gmail.com
BASELIOS VIDYANIKETHAN,"GIRISINAL VETTICKAL PO MULANTHURUTHY ERNAKULAM DISTT KERALA,682314","0484,2742250",soosy.cherian@gmail.com
BETHSADA PUBLIC SCHOOL,"VENGOLA PERUMBAVOOR, ERNAKULAM DISTT, KERALA,683554","0484,2528666",reejabijup@gmail.com
BHAVAN'S VIDYA MANDIR,"ELAMAKKARA COCHIN, DISTT ERNAKULAM, KERALA,682026","0484,2408514",girijats123@gmail.com
BHAVANS ADARSH VIDYALAYA,"KAKKANAD KOCHI ERNAKULAM DIST. KERALA,682030","0484,2422528",kuttath.suresh@yahoo.com
Bhavans Munshi Vidyashram,"Bhavans munshi Vidyashram Old Guest House Road Thiruvamkulam Thirupunathura Cochin,682305","0484,2774247",sujatanambiar@gmail.com
BHAVANS VARUNA VIDYALAYA,"NPOL  TRIKKAKARA B.M.C POST COCHIN, DISTT ERNAKULAM KERALA,682021","0484,2422566",ushakanavillil@gmail.com
